"n","d","r=1","r=3","r=5","r=8","r=10"
50,1,1.394,1.485,1.352,1.262,1.324
50,2,2.449,2.06,2.571,2.213,2.281
50,5,5.42,5.111,4.288,4.126,4.748
50,8,5.543,4.888,5.681,4.943,5.004
50,10,4.645,5.591,4.79,6.218,4.956
100,1,1.553,1.506,1.526,1.556,1.608
100,2,3.188,3.228,3.293,3.108,2.806
100,5,11.427,10.122,9.817,10.308,9.978
100,8,10.401,12.624,10.184,13.526,14.43
100,10,10.571,12.652,11.39,11.934,11.354
200,1,1.603,1.607,1.739,1.632,1.66
200,2,3.881,3.486,3.479,4.051,4.058
200,5,19.097,20.209,21.348,21.196,17.543
200,8,34.582,29.654,37.815,34.677,30.397
200,10,24.74,30.147,27.46,29.258,30.329
500,1,1.932,1.824,1.83,1.93,1.667
500,2,4.002,4.112,4.294,4.361,4.184
500,5,63.606,46.189,39.866,49.953,40.522
500,8,77.37,84.717,67.679,79.998,71.068
500,10,75.232,81.245,97.329,71.217,85.244
1000,1,1.804,1.763,1.824,1.725,1.769
1000,2,4.558,4.599,4.966,5.027,4.714
1000,5,79.972,77.073,64.959,72.098,77.057
1000,8,170.345,137.675,123.849,146.931,144.98
1000,10,215.453,160.365,169.354,150.479,202.345
