"n","d","r=1","r=3","r=5","r=8","r=10"
50,1,0.784,0.766,0.822,0.796,0.788
50,2,0.414,0.44,0.426,0.41,0.454
50,5,0.06,0.07,0.074,0.092,0.084
50,8,0.066,0.054,0.038,0.078,0.054
50,10,0.054,0.052,0.05,0.036,0.05
100,1,0.88,0.88,0.886,0.842,0.864
100,2,0.596,0.628,0.564,0.6,0.576
100,5,0.086,0.066,0.104,0.076,0.07
100,8,0.06,0.052,0.046,0.062,0.056
100,10,0.054,0.05,0.04,0.044,0.048
200,1,0.95,0.922,0.946,0.938,0.968
200,2,0.596,0.682,0.648,0.686,0.644
200,5,0.1,0.112,0.114,0.112,0.076
200,8,0.056,0.064,0.064,0.05,0.07
200,10,0.064,0.06,0.066,0.03,0.056
500,1,1,1,1,0.996,1
500,2,0.828,0.864,0.868,0.876,0.836
500,5,0.126,0.11,0.098,0.104,0.13
500,8,0.07,0.06,0.064,0.048,0.06
500,10,0.04,0.044,0.052,0.058,0.066
1000,1,1,1,1,1,1
1000,2,0.978,0.982,0.97,0.986,0.97
1000,5,0.136,0.136,0.184,0.152,0.13
1000,8,0.054,0.072,0.05,0.052,0.05
1000,10,0.064,0.052,0.048,0.05,0.052
